#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
315 287.675000 2.300000 0.820000 0.008500 99335.733333 0.000000 
316 287.558333 2.208333 0.818333 0.008400 99362.300000 0.000000 
317 288.100000 1.925000 0.758417 0.008100 99391.025000 0.000000 
318 288.975000 1.900000 0.695250 0.007900 99385.700000 0.000000 
319 290.058333 1.625000 0.637750 0.007700 99397.100000 0.000000 
320 291.066667 1.691667 0.590833 0.007600 99402.600000 0.000000 
321 292.158333 2.066667 0.548500 0.007600 99437.008333 0.000000 
322 292.983333 2.375000 0.517500 0.007500 99415.808333 0.000000 
323 293.600000 2.400000 0.487500 0.007400 99415.800000 0.000000 
324 293.833333 2.675000 0.460250 0.007100 99373.283333 0.000000 
325 294.125000 2.608333 0.438750 0.006800 99345.475000 0.000000 
326 294.058333 1.958333 0.435167 0.006800 99285.641667 0.000000 
327 293.958333 1.166667 0.457917 0.007100 99251.800000 0.000000 
328 294.041667 1.100000 0.461833 0.007200 99190.258333 0.000000 
329 293.775000 1.466667 0.460167 0.007000 99175.550000 0.000000 
330 293.475000 1.041667 0.460000 0.006900 99168.466667 0.000000 
331 293.266667 1.366667 0.466417 0.006900 99207.683333 0.000000 
332 292.883333 1.583333 0.495417 0.007200 99229.266667 0.000000 
333 292.391667 1.508333 0.530083 0.007400 99266.375000 0.000000 
334 291.800000 1.408333 0.562333 0.007600 99254.750000 0.000000 
335 291.383333 1.675000 0.593417 0.007800 99254.133333 0.000000 
336 288.966667 2.525000 0.701417 0.007900 99254.566667 0.000000 
337 288.841667 2.416667 0.724750 0.008100 99263.583333 0.000000 
338 288.758333 2.400000 0.737917 0.008200 99262.383333 0.000000 
339 288.566667 2.033333 0.743583 0.008200 99266.600000 0.000000 
340 288.275000 1.358333 0.752250 0.008100 99293.583333 0.000000 
341 288.433333 0.933333 0.700750 0.007700 99344.125000 0.000000 
342 289.458333 0.808333 0.609833 0.007100 99366.741667 0.000000 
343 290.650000 0.708333 0.551583 0.006900 99387.100000 0.000000 
344 291.850000 0.975000 0.517667 0.007000 99392.466667 0.000000 
345 292.775000 1.641667 0.490250 0.007000 99443.125000 0.000000 
346 293.583333 1.975000 0.460500 0.006900 99422.491667 0.000000 
347 294.291667 2.183333 0.427750 0.006700 99423.133333 0.000000 
348 294.350000 2.200000 0.394750 0.006200 99410.383333 0.000000 
349 294.991667 2.108333 0.354417 0.005800 99406.266667 0.000000 
350 295.325000 2.283333 0.329917 0.005500 99374.466667 0.000000 
351 295.350000 2.025000 0.323417 0.005400 99347.858333 0.000000 
352 295.350000 1.175000 0.324833 0.005500 99320.766667 0.000000 
353 295.075000 0.825000 0.321333 0.005300 99340.866667 0.000000 
354 294.775000 0.891667 0.329250 0.005300 99361.966667 0.000000 
355 294.383333 1.083333 0.341000 0.005400 99421.358333 0.000000 
356 293.891667 1.100000 0.356667 0.005500 99469.225000 0.000000 
357 293.483333 1.191667 0.396500 0.005900 99429.191667 0.000000 
358 293.083333 1.475000 0.448583 0.006600 99453.525000 0.000000 
359 292.683333 1.683333 0.497000 0.007100 99487.633333 0.000000 
360 290.083333 2.158333 0.604583 0.007300 99496.366667 0.000000 
361 289.941667 2.016667 0.638750 0.007700 99524.125000 0.000000 
362 289.766667 1.908333 0.660250 0.007800 99544.750000 0.000000 
363 289.383333 1.808333 0.689500 0.008000 99566.383333 0.000000 
364 288.983333 1.525000 0.726833 0.008200 99624.025000 0.000000 
365 288.858333 1.316667 0.614500 0.006900 99694.641667 0.000000 
366 289.675000 1.391667 0.558167 0.006600 99728.741667 0.000000 
367 290.666667 1.675000 0.518250 0.006500 99762.741667 0.000000 
368 291.575000 1.883333 0.485667 0.006400 99780.266667 0.000000 
369 292.475000 2.083333 0.461000 0.006500 99853.741667 0.000000 
370 293.191667 2.375000 0.438833 0.006400 99830.508333 0.000000 
371 293.891667 2.583333 0.416833 0.006400 99826.883333 0.000000 
372 294.041667 2.691667 0.388417 0.006000 99784.083333 0.000000 
373 294.508333 2.975000 0.370417 0.005900 99767.550000 0.000000 
374 294.733333 3.091667 0.359833 0.005800 99733.125000 0.000000 
375 294.750000 2.916667 0.356250 0.005800 99714.333333 0.000000 
376 294.566667 2.533333 0.366083 0.005800 99671.558333 0.000000 
377 294.183333 2.316667 0.389917 0.006100 99681.000000 0.000000 
378 293.783333 2.025000 0.411250 0.006300 99682.750000 0.000000 
379 293.200000 2.183333 0.439583 0.006500 99724.325000 0.000000 
380 292.416667 2.383333 0.479583 0.006700 99753.583333 0.000000 
381 291.708333 2.675000 0.523333 0.007000 99710.433333 0.000000 
382 291.008333 2.883333 0.561833 0.007200 99718.950000 0.000000 
383 290.308333 2.900000 0.600750 0.007400 99718.083333 0.000000 
384 288.325000 2.991667 0.687417 0.007400 99726.150000 0.000000 
385 287.966667 3.091667 0.726167 0.007700 99701.141667 0.000000 
386 287.583333 3.008333 0.751000 0.007700 99695.225000 0.000000 
387 287.091667 2.633333 0.776833 0.007800 99697.741667 0.000000 
388 286.775000 2.141667 0.785417 0.007700 99718.441667 0.000000 
389 287.208333 1.916667 0.712667 0.007200 99748.533333 0.000000 
390 288.166667 1.900000 0.651917 0.007000 99728.183333 0.000000 
391 289.075000 1.991667 0.606667 0.006900 99720.416667 0.000000 
