#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
320 296.150000 0.400000 0.777000 0.014100 97021.658333 0.000000 
321 297.533333 0.400000 0.709750 0.014000 96985.491667 0.000000 
322 298.566667 0.675000 0.648083 0.013600 96966.175000 0.000000 
323 299.383333 0.883333 0.607250 0.013400 96919.325000 0.000000 
324 299.633333 1.175000 0.602167 0.013500 96877.891667 0.000000 
325 299.833333 1.291667 0.599250 0.013600 96858.458333 0.000000 
326 300.033333 1.025000 0.594417 0.013600 96826.750000 0.000000 
327 299.958333 0.541667 0.594000 0.013600 96812.175000 0.000000 
328 299.675000 0.591667 0.616000 0.013800 96764.075000 0.000000 
329 299.100000 0.508333 0.704167 0.015300 96747.241667 0.000000 
330 298.316667 0.775000 0.759667 0.015800 96695.500000 0.000000 
331 297.883333 0.708333 0.720917 0.014600 96715.100000 0.000000 
332 297.300000 0.150000 0.736250 0.014400 96739.575000 0.000000 
333 296.516667 0.466667 0.765500 0.014300 96729.133333 0.000000 
334 295.808333 0.775000 0.789083 0.014100 96742.208333 0.000000 
335 295.750000 0.800000 0.791000 0.014100 96743.500000 0.000000 
